objid,ra,dec,size,color
1237679433441149417,351.772078807446,-3.512440914775,258.4176,0.7704163
1237667725360431233,82.9170209919828,8.37456933159946,18.31826,0.6159611
1237651494678627224,112.682862912271,34.2498785718384,7.359697,0.5685215
1237667725360431257,82.8932387349102,8.37578110658436,9.173767,1.250553
1237650004325041126,326.577524213606,-1.14197692256927,7.359641,1.400997
1237656850502976106,344.094306483731,-1.02067095341752,7.357592,1.218575
1237660191987664858,310.58593925855,-1.11370666236406,7.359559,1.505472
1237660191987664865,310.589737795777,-1.18321605993532,7.359559,3.475084
1237669516361466032,344.728212688441,5.98113825717284,17.12048,0.9874878
1237669516361466037,344.734357678681,5.97192950880604,18.01849,0.700491
1237671066844595289,22.4358935156141,38.5275631454727,7.357651,0.621088
1237645876861535220,337.169103444381,-0.8887172123255,7.355452,0.6726646
1237645876861535223,337.178713405112,-0.909393858174375,11.30054,0.4818974
1237645876861535242,337.08714886698,-0.933058320861317,11.30054,0.5955257
1237666492704555432,328.189967404858,-0.864272983674699,7.358632,0.8009777
1237668647170343124,176.991147315378,20.7788409244696,5.204239,1.413527
1237668647170343129,177.000083184823,20.7504042822608,7.359027,0.6069279
1237665427552666111,194.280521419507,28.782478140458,7.359612,0.8039722
1237665427552666125,194.280422454715,28.6938503349347,10.64674,0.6118336
1237651494678691853,112.64922285751,34.3560725858548,6.686955,0.2480392
1237664972286263921,233.579430054759,23.7934569272757,7.359788,1.062647
1237660750333150893,66.3123254492512,23.0352306779406,11.30553,2.428068
1237660750333150896,66.4009876814389,23.0815365141403,258.3697,-10.34963
1237660191987728945,310.769126891036,-1.14701803848656,6.869985,1.707378
1237680263996441241,351.10875654346,-6.91531288361206,7.359618,1.330824
1237680263996441245,351.112837170533,-6.9211785113618,43.77222,0.8916683
1237660750333214838,66.3393222790384,23.1423022213036,27.92461,1.046923
1237657584942842005,23.3038586537793,-0.854700221512927,7.358663,2.55765
1237661351628767786,165.870841672691,54.8848830673974,7.356921,0.5199604
1237657584942842236,23.3931181848589,-0.985801097540481,7.358663,0.6460323
1237657584942842241,23.397753912088,-1.03191522696631,7.358663,0.6089306
1237656850503041850,344.273186699862,-1.00746627223845,7.357521,0.8181038
1237656850503041856,344.283663393848,-1.02349732368999,7.357521,1.655897
1237679433441280338,352.08623947934,-3.5173953198574,27.92389,1.225183
1237679433441280339,352.081010039199,-3.51355540803246,43.77312,1.551144
1237679433441280341,352.068178489014,-3.52095202930748,7.35977,1.208075
1237679433441280345,352.066642316018,-3.52060271546976,43.77312,1.371181
1237679433441280350,352.084540672442,-3.56518426068295,106.7367,0.6096344
1237679433441280359,352.09293743233,-3.52247331096024,6.495746,0.7997189
1237663889954111697,20.2479522637873,-1.22694019610733,5.514476,0.7737522
1237668330950754384,211.914804854653,14.7319692900817,5.219046,0.523819
1237668330950754392,211.928689264269,14.7832055167296,6.863136,0.4867516
1237654187634196802,172.713654776733,-1.10772188416125,9.214726,0.6759911
1237654187634196808,172.622742031459,-1.09767087425913,6.204056,0.4231071
1237654187634196809,172.624204847724,-1.09505161750148,6.06593,0.9471397
1237656850502713523,343.506432585216,-0.876106693324015,18.01773,0.8496933
1237669516361269921,344.307459412504,5.9285883544246,7.358296,0.3079395
1237666209236910662,249.901915306778,28.5951380156843,5.143112,1.889748
1237665427552404037,193.572409315251,28.8725622835658,7.360389,0.6346664
1237666209236910677,249.90818821305,28.5981396352161,9.508007,1.561926
1237666209236910691,249.921178799663,28.6233204164737,43.76731,1.546486
1237654187634262207,172.788753286718,-0.961509691792277,7.359935,0.5748291
1237661957218828943,193.582330214179,50.9499405906922,7.359121,1.903288
1237661957218828945,193.601367168296,51.0389617213587,7.359121,1.036558
1237662305648050874,201.685057638499,40.5893156566041,5.009082,1.483398
1237662305648050880,201.695900834674,40.623203130429,7.359277,-0.01383781
1237654187634262257,172.785577773181,-1.01086176084709,5.662666,0.6410027
1237665427552404203,193.468017368502,28.7917860512843,7.360389,1.76469
1237668647170081218,176.421584249047,20.776816075833,7.360004,0.6878319
1237651494678496170,112.541485121283,33.9593655915654,7.359477,0.5838089
1237651494678496181,112.391290019685,34.0337397036566,7.359477,4.976233
1237661957218829207,193.646718433669,51.0333639236542,7.359121,2.668102
1237652929198555785,309.112975192957,-6.76182903890276,11.30614,1.688572
1237673708786222230,121.086679929079,-9.22577894608071,7.360054,2.223217
1237663889954177395,20.4741799601144,-1.24231259329085,7.359077,0.2271442
1237663889954177414,20.4845739552446,-1.14752273512327,27.92126,0.6033974
1237666300525085247,340.565970793388,-0.112772347435906,7.358091,1.125631
1237660750333019894,66.2138592759952,22.7442399656473,18.02121,1.518641
1237652929198556259,309.070593253731,-6.90961359836539,6.100384,0.4491386
1237661957218894302,193.915980092505,51.062551820166,7.359409,1.357662
1237659234211530323,253.977898341572,-1.07573864297772,7.358455,1.294291
1237668330950820494,212.135473387909,14.691138117874,7.358715,1.742882
1237666209236976379,250.054617747993,28.6973433814801,68.30749,0.2180595
1237668330950820505,212.151898978562,14.736101444538,11.30555,1.168434
1237654187634393426,173.108244346333,-1.11234462957929,7.359867,1.010925
1237650004324909736,326.282970115904,-1.14959509741993,7.35961,0.8743973
1237654187634393436,173.121088544093,-1.11399412280616,7.359867,1.351873
1237654187634393443,173.127499499574,-1.13957435474009,7.359867,0.9896717
1237654187634393445,173.130864002494,-0.979633986438975,5.015672,7.344088
1237654187634393448,173.13334620479,-1.11307114250324,106.7381,13.36785
1237678845030238158,314.015299303507,5.21654817969155,7.357713,4.028694
1237654187634393463,173.159971561432,-1.0145507238608,6.052289,0.8083706
1237654187634393466,173.165554260561,-1.08560739251223,7.359867,1.206913
1237654187634393467,173.165557186143,-1.11620557096068,27.92426,5.090414
1237646798131759018,108.042641845168,0.952429313694468,18.01545,0.8848515
1237668647170146977,176.638501340023,20.6617232072134,7.359541,1.552341
1237668647170146982,176.634536386843,20.8160128545674,7.359541,0.7225018
1237668647170146983,176.641255720908,20.6720303452503,7.359541,1.03508
1237671930132956182,158.650002626611,8.03366062971663,11.30486,0.01633453
1237650004324910004,326.281957243778,-1.0911556434878,7.35961,1.602057
1237645876861403577,336.77446019627,-1.03257934561845,11.30334,0.9071598
1237645876861403595,336.782623865634,-0.994404322559111,7.357275,0.4885883
1237663889954242972,20.691884768362,-1.07079640066401,5.342176,0.382431
