id,rowOrder,objid,ra,dec,size,color
Table293,292,1237660750333018280,66.40868,22.77563,2.205866,2.037209
Table294,293,1237660750333018284,66.2468,22.77698,1.280802,0.4886818
Table295,294,1237678578742263966,329.0739,19.52762,4.864856,0.6407585
Table296,295,1237678578742263975,329.1044,19.42234,10.79777,1.046515
Table297,296,1237678578742263976,329.1113,19.43075,3.859653,1.005606
Table298,297,1237663889954111637,20.33751,-1.059359,7.35916,0.1982574
Table299,298,1237663889954111642,20.34824,-1.217099,4.784045,0.7196846
Table300,299,1237663889954111646,20.35244,-1.114812,1.274583,0.8986301
Table301,300,1237678578742263888,329.0323,19.48762,2.070308,0.4870834
Table302,301,1237660750333018229,66.26855,22.73664,2.202362,1.044811
Table303,302,1237660750333018231,66.27153,22.73896,1.414777,1.964787
Table304,303,1237660750333018233,66.26086,22.73753,0.422006,-0.3803005
Table305,304,1237650004324843651,326.1126,-1.133789,2.646373,0.3218174
Table306,305,1237650004324843653,326.1068,-1.129456,1.55912,2.080175
Table307,306,1237650004324843655,326.1109,-1.132124,1.960769,1.782787
Table308,307,1237650004324843659,326.1088,-1.171389,27.92901,-0.01736069
Table309,308,1237661351628439580,164.5078,54.53946,2.102912,-0.03831291
Table310,309,1237674893660323916,304.1696,29.69659,1.515849,1.548876
Table311,310,1237674893660323927,304.1533,29.67374,11.30557,2.40114
Table312,311,1237674893660323932,304.1643,29.68174,1.454811,1.59943
Table313,312,1237658222745288786,82.74456,0.7474134,1.639685,4.093708
Table314,313,1237654866228281482,118.4403,-1.855776,3.126648,1.018454
Table315,314,1237654866228281484,118.4423,-1.863853,27.92255,0.09477997
Table316,315,1237654866228281485,118.4415,-1.857632,2.547127,1.410412
Table317,316,1237654866228281486,118.4402,-1.868811,1.604261,0.9990005
Table318,317,1237654866228281487,118.436,-1.863141,1.680189,1.573261
Table319,318,1237654866228281488,118.4459,-1.867562,2.387331,0.5822773
Table320,319,1237680263996112981,350.3632,-7.012299,3.88736,1.242676
