z0,z1,z2,z3,z4,z5,z6,z7,z8,z9,z10,z11,z12,z13,z14,z15,z16,z17,z18,z19,z20,z21,z22,z23,z24,z25,z26,z27,z28,z29,z30,z31
1.5044019,-1.3355826,-4.8088064,1.507398,-3.1076388,-4.651432,1.8190763,1.365022,3.9241555,0.2688246,-2.199008,-3.4643588,-2.0832021,-0.78044033,6.137829,-4.3717566,1.3052797,3.0049632,2.3277724,2.7194471,5.443677,-1.2103088,3.1637986,-3.2807024,4.4994736,0.7102524,2.1183167,1.1526942,-0.8451332,2.5036702,-2.6837792,-0.6012045
2.5004368,-6.9842644,-4.40263,4.4375987,-6.889675,-3.1610703,-0.32210433,1.5192361,2.2566164,-4.513705,-5.308673,-1.2345667,-1.3724697,0.6902443,-0.9354807,-4.847015,-6.2335615,1.0683154,1.5461758,4.0323815,-1.9152069,3.2196913,5.4788127,2.417703,3.2704833,-3.2275925,1.745643,0.39550796,10.79647,1.2783471,0.7746688,-1.8612641
1.3629134,-6.7606983,-4.3666887,4.622018,0.7005586,6.623781,-2.0344205,2.7920003,-0.13813484,-3.8860505,-0.53483,-1.7183375,-0.8376339,1.54092,-0.4474387,3.800264,4.0020113,2.1725292,-3.1654816,8.497008,0.45018753,-3.4030101,2.3645463,0.43615043,2.1474888,-3.0380437,-3.6420653,-1.4180088,1.9311423,-1.7408904,2.259348,-1.8628547
4.834279,-4.3823876,-6.0667725,3.470849,-1.9353787,4.1830873,-2.9653068,3.4253254,-0.96779335,-3.1522558,-1.5352896,-1.6716453,-0.26129407,3.727589,-0.7768326,1.8267324,5.18153,1.764165,-5.590122,5.275264,-0.6177053,-1.8763611,3.1831129,1.7643015,0.11545423,0.65605426,-5.2270336,-4.0451913,2.8031044,-1.4130094,-1.1484597,1.0447668
1.2450577,-0.5718272,2.707333,-0.7703304,1.1560913,-0.4240706,-1.8537607,3.2073255,-1.3060416,4.134477,-1.7264984,2.6013966,4.3100886,3.4630115,-0.99933857,-0.14358151,1.7817309,-3.2140596,-1.5448898,0.44827014,-4.4786015,0.81952363,2.4050264,2.0549436,0.78670496,8.05715,-3.6767926,-4.450142,1.0150187,-0.9522224,-3.7262144,1.1178417
2.937092,-2.1184797,-2.6580777,1.4984686,-0.2897115,-2.7985988,0.6428866,2.697667,2.3687274,1.5554938,-0.96701777,-2.4587584,-1.3877954,0.91305447,4.5203485,-1.8467107,5.7152205,-0.18675645,-1.4335369,3.3460526,2.620429,-1.2476974,4.775092,-0.8301984,0.5569571,4.2660403,-2.4883473,-1.8211846,-0.28658575,2.7814622,-2.660256,0.37993658
1.2873764,-1.4417083,1.8161553,-0.051016986,1.6710658,-2.0161898,-0.39736032,3.3117032,0.9453519,4.6645007,-0.1890562,1.1773312,1.3085448,2.2971811,2.055144,-1.3578087,3.4763348,-1.6541767,-1.400108,0.7945614,-0.62401986,-0.16644633,4.3448563,0.42398936,-0.15109277,7.0468426,-2.9633932,-3.6708984,0.8205771,0.7004943,-3.1138046,1.2748611
3.5711093,-3.926882,-2.7480352,2.38458,-1.1898866,4.0358243,-3.4469235,2.8891659,-2.9732213,-3.1090431,-1.7772019,0.5310706,2.4835923,2.6978402,-3.73486,4.201429,2.3190646,0.20462596,-3.4172325,3.17841,-3.7618837,1.3069451,-0.17539552,3.1952162,0.58765197,1.2405809,-4.1191273,-3.2522058,3.3352628,-3.5673723,-0.29572535,0.10884288
-0.9192416,-0.024245799,-0.6107664,-0.68893176,2.3194952,-1.1341453,1.569243,2.0962331,1.072635,3.1766438,-1.3108073,-0.4448583,1.0850523,-0.3650918,1.146889,-1.1376758,2.6173556,-0.2961151,2.4977384,3.8182006,0.08882925,-1.0223742,1.9165875,-1.2316349,3.8780103,5.008242,-0.7826029,2.4221969,-4.328051,1.3093226,-2.9734359,-2.2628162
0.054754794,-1.7752197,-7.467025,3.7578049,-6.5970654,-0.43827075,-5.7662125,0.80459225,0.7036145,-6.5389004,1.2524025,-1.9066216,-1.3322246,4.11024,1.1283009,-0.09578681,-0.85969245,2.7452922,-4.594292,0.17703605,2.1259227,-2.0077846,1.092973,-2.4035554,-0.50539935,-5.073293,1.8976393,-8.994175,3.7028537,-3.900504,-1.213294,2.5363522
7.7911835,-3.5645013,0.53229487,-2.4764366,1.4699124,-6.461209,-3.7878816,-4.8346186,-0.17124146,-10.53865,0.27826768,-0.2719121,5.450765,-12.7859955,4.7041054,9.535587,2.2678416,1.4908239,3.7445707,0.064222276,5.3764024,9.88011,1.903666,-0.5024036,5.7561326,-5.7408867,3.669726,5.7547116,6.9880266,-8.121977,2.3616898,0.32402837
1.0634549,-0.7296298,-4.5193105,0.2144928,-2.6211154,-4.2526207,1.6870099,-0.032484055,3.4887977,-0.43792346,-2.3114817,-3.011317,-0.92927295,-2.5467453,5.7272224,-3.5730073,0.50954986,3.5546055,3.9175,3.4931808,5.10563,-0.24487758,1.9887009,-3.774773,6.1614017,-0.87312967,3.243004,3.573782,-1.3857496,1.184594,-2.539886,-1.5540086
1.9195635,-1.2371807,-1.8571073,1.8582058,-3.9278142,-5.6411934,0.75111115,1.6693001,4.072181,0.8106697,0.042106956,-1.9039142,-1.528228,0.8860471,4.507347,-5.038078,-0.6251514,-0.21129003,0.18465623,-0.85755503,3.2697265,0.08827403,3.3249488,-1.4512339,0.55292916,1.0395074,1.8291495,-3.4564948,3.8461971,1.386433,-2.7614877,1.702533
1.5312834,-4.2345595,0.19605851,1.1802331,-3.2138014,-2.855442,0.18766657,1.5421689,1.0475359,-0.76684666,-2.8564227,0.88311726,1.0010736,0.0013596416,-1.0585546,-3.3457747,-5.2083573,-1.8649242,1.1128608,-0.3367731,-2.9843855,3.2468667,3.5425766,1.6130729,2.302833,-0.04876715,1.7232991,-1.029775,7.495137,-0.63383543,-0.7381839,-0.5329066
1.2731972,-5.039214,-1.7331471,2.7195702,-1.1728497,3.8982728,-3.5059009,1.2597237,-3.6556082,-5.385109,-0.8803166,-0.22975373,2.723805,0.9068556,-6.598189,7.062753,1.1105678,-0.91090566,-1.3557515,2.9455805,-4.3517017,2.0594418,-2.955871,2.6200204,1.3471106,-2.5179868,-0.6065262,-2.5553262,2.8173685,-5.606283,1.7129874,-1.155992
1.4573255,-3.1417205,-1.7617486,2.0311403,0.94872546,0.9886989,-1.6240526,2.892542,0.73141396,0.22157812,0.9422968,0.1415779,-0.61711633,3.2008572,1.5659509,-0.05111587,4.0691495,-0.027695164,-4.0636196,2.4445837,0.13933364,-2.5294347,3.6986966,-0.016172707,-1.1233313,2.6116662,-3.0353608,-4.7546754,2.3128026,-0.3937855,-1.4547647,1.6392491
